序号,城市,地点,场景类型,频谱数据目录名称,IQ数据相对目录,IQ数据组名称,备注,极化方式,频段,频谱峰值频率(MHz),频谱峰值功率(dBμV/m),频谱BW_3dB(MHz),IQ中心频率(MHz),IQ数据组完整名称,IQ文件状态,汇总说明
32,北京测点,丰台总部基地18区,居民区,丰台总部基地18区,20260615IQR,20260611beijingfentai18qu,,垂直极化,30M-6G (All),"2674.603175, 2523.809524, 2547.619048, 2603.174603, 2563.492063, 1817.460317, 765.079365, 2619.047619, 2579.365079, 780.952381","116.663, 114.745, 112.783, 112.634, 111.773, 110.911, 108.673, 107.391, 107.372, 106.846","11.782191, 17.194333, 8.270518, 7.035299, 10.030864, 17.633198, 4.766026, 110.103939, 110.142225, 4.286811","765, 770, 870, 959, 1820, 2560","20260611beijingfentai18qu765m, 20260611beijingfentai18qu770m, 20260611beijingfentai18qu870m, 20260611beijingfentai18qu959m, 20260611beijingfentai18qu1820m, 20260611beijingfentai18qu2560m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值5/10，关联IQ 6组
33,北京测点,北京汽车博物馆停车场,大型停车场,中国汽车博物馆停车场,20260615IQR,20260611beijingqcbowuguan,,垂直极化,30M-6G (All),"2531.746032, 2611.111111, 2563.492063, 2579.365079, 1896.825397, 3404.761905, 948.412698, 3444.444444, 1873.015873, 783.333333","117.019, 114.785, 114.363, 113.631, 111.803, 111.524, 107.701, 106.717, 106.289, 106.061","20.957051, 90.847349, 91.219954, 91.865812, 12.174553, 4.387203, 0.393008, 4.626967, 51.089353, 5.172916","530, 770, 948, 1900, 2560","20260611beijingqcbowuguan530m, 20260611beijingqcbowuguan770m, 20260611beijingqcbowuguan948m, 20260611beijingqcbowuguan1900, 20260611beijingqcbowuguan2560m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值4/10，关联IQ 5组
34,北京测点,怡海花园,居民区,怡海家园,20260615IQR,20260611beijingyihaijiayuan,,垂直极化,30M-6G (All),"2571.428571, 2531.746032, 2619.047619, 2587.301587, 948.412698, 2555.555556, 779.365079, 934.920635, 1873.015873, 761.904762","128.425, 123.917, 122.467, 122.164, 122.032, 121.926, 114.744, 114.270, 112.281, 112.159","7.408642, 20.348769, 80.118894, 104.540338, 0.242109, 104.680733, 2.276988, 8.878719, 20.318965, 1.828854","775, 875, 950, 2130, 2550","20260611beijingyihaijiayuan775m, 20260611beijingyihaijiayuan875m, 20260611beijingyihaijiayuan950m, 20260611beijingyihaijiayuan2130m, 20260611beijingyihaijiayuan2550m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值6/10，关联IQ 5组
35,北京测点,丰台创新中心,基站,丰台创新中心,20260615IQR,20260611beijingfentaichuangxin,,垂直极化,30M-6G (All),"1849.206349, 3476.190476, 3412.698413, 2119.047619, 2523.809524, 3436.507937, 2563.492063, 783.333333, 2611.111111, 1825.396825","119.867, 117.993, 116.427, 108.849, 108.318, 107.154, 105.788, 105.717, 105.595, 104.945","9.562347, 15.454368, 17.258476, 3.714385, 16.089231, 35.874421, 15.881413, 1.690357, 4.945644, 17.494379","880, 938, 1850, 2130, 2600","20260611beijingfentaichuangxin880m, 20260611beijingfentaichuangxin938m, 20260611beijingfentaichuangxin1850m, 20260611beijingfentaichuangxin2130, 20260611beijingfentaichuangxin2600m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值3/10，关联IQ 5组
36,北京测点,北京天坛医院,医院外部,天坛医院,20260615IQR,20260611beijingtiantanyiyuan,,垂直极化,30M-6G (All),"3436.507937, 3420.634921, 3404.761905, 2531.746032, 3507.936508, 3476.190476, 2626.984127, 2642.857143, 2571.428571, 2603.174603","121.884, 120.441, 120.412, 118.994, 116.929, 116.830, 114.618, 114.590, 113.173, 112.465","33.540120, 34.526732, 34.546115, 23.482691, 18.234209, 3.561082, 45.960537, 46.057033, 21.945333, 53.517544","770, 870, 948, 1890, 2550","20260611beijingtiantanyiyuan770m, 20260611beijingtiantanyiyuan870m, 20260611beijingtiantanyiyuan948m, 20260611beijingtiantanyiyuan1890m, 20260611beijingtiantanyiyuan2550m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值1/10，关联IQ 5组
37,北京测点,丰台站,车站,丰台站,20260615IQR,20260611beijingfentaizhan,,垂直极化,30M-6G (All),"1871.111111, 948.412698, 3535.555556, 3582.222222, 1840.000000, 2594.444444, 2127.777778, 3504.444444, 2532.222222, 2578.888889","118.434, 114.733, 112.507, 112.460, 112.398, 112.283, 111.424, 111.350, 109.548, 108.975","11.265625, 0.263720, 25.578931, 6.969659, 8.948185, 10.436146, 18.329073, 9.033025, 12.052631, 26.215485","100, 770, 870, 1860, 2120","20260611beijingfentaizhan100m, 20260611beijingfentaizhan770m, 20260611beijingfentaizhan870m, 20260611beijingfentaizhan1860m, 20260611beijingfentaizhan2120m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 5组
38,北京测点,丰台总部基地一区,居民区,丰台总部基地一区,20260615IQR,20260611beijingfentaizongji,,垂直极化,30M-6G (All),"3428.571429, 3404.761905, 1825.396825, 2603.174603, 2539.682540, 2555.555556, 960.317460, 3507.936508, 2579.365079, 1865.079365","111.461, 110.623, 110.407, 109.034, 107.394, 107.116, 106.714, 106.105, 105.968, 105.355","32.582979, 33.665380, 16.572089, 18.030258, 28.318528, 29.993417, 0.881493, 26.601570, 50.426956, 25.049095","530, 773, 875, 960, 1900, 2600","20260611beijingfentaizongji530m, 20260611beijingfentaizongji773m, 20260611beijingfentaizongji875m, 20260611beijingfentaizongji960m, 20260611beijingfentaizongji1900m, 20260611beijingfentaizongji2600m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 6组
39,北京测点,丰台南路地铁站,地铁站,丰台南路地铁站,20260615IQR,20260611beijingfentainz,,垂直极化,30M-6G (All),"2571.428571, 2531.746032, 2619.047619, 3515.873016, 2515.873016, 3412.698413, 2587.301587, 2603.174603, 2142.857143, 2119.047619","120.709, 118.858, 111.957, 111.394, 110.448, 109.964, 108.820, 108.064, 106.571, 106.490","10.597579, 4.099262, 5.929727, 10.639310, 22.599385, 14.859727, 41.669957, 66.073704, 19.693852, 7.480542","530, 773, 948, 2120, 2560","20260611beijingfentainz530m, 20260611beijingfentainz773m, 20260611beijingfentainz948m, 20260611beijingfentainz2120m, 20260611beijingfentainz2560m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 5组
40,北京测点,华能北京热电厂,发电站,华能北京热电厂,20260616IQR,20260611beijinghuanengrdc,,垂直极化,30M-6G (All),"3428.571429, 2539.682540, 2142.857143, 2579.365079, 2119.047619, 3404.761905, 2611.111111, 2555.555556, 5801.587302, 3452.380952","109.625, 108.456, 105.115, 104.985, 104.917, 103.263, 102.940, 101.388, 99.536, 99.007","10.734619, 3.180760, 5.096315, 3.791430, 5.394743, 28.677315, 11.013482, 7.209380, 5.199454, 20.133741","770, 948, 1880, 2550","20260611beijinghuanengrdc770m, 20260611beijinghuanengrdc948m, 20260611beijinghuanengrdc1880m, 20260611beijinghuanengrdc2550m","离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 4组
41,北京测点,百度ApolloPark,智能网联示范区,百度ApolloPark,20260616IQR,20260611beijingbaidu,,垂直极化,30M-6G (All),"3420.634921, 3468.253968, 3452.380952, 3500.000000, 2523.809524, 2563.492063, 1873.015873, 2595.238095, 2619.047619, 880.158730","121.836, 119.472, 115.482, 115.350, 113.169, 112.639, 112.125, 110.935, 109.843, 109.565","24.141926, 6.061751, 34.966389, 12.719896, 17.985185, 23.000072, 15.209660, 19.789434, 39.004260, 0.550210","773, 875, 950, 1860, 2140, 2550","20260611beijingbaidu773m, 20260611beijingbaidu875m, 20260611beijingbaidu950m, 20260611beijingbaidu1860m, 20260611beijingbaidu2140m, 20260611beijingbaidu2550m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值3/10，关联IQ 6组
42,北京测点,中和工业园,工业区,中和工业园,20260616IQR,20260611beijingzhonghegyy,,垂直极化,30M-6G (All),"1817.460317, 948.412698, 2515.873016, 1888.888889, 2563.492063, 1833.333333, 3595.238095, 3507.936508, 2595.238095, 3476.190476","111.392, 109.447, 109.143, 107.532, 107.048, 106.887, 106.210, 104.927, 104.815, 103.451","3.526576, 0.201088, 24.081402, 21.381527, 20.129745, 9.122939, 7.387985, 5.850031, 100.873687, 11.874808","773, 873, 956, 1850, 2140, 2530","20260611beijingzhonghegyy773m, 20260611beijingzhonghegyy873m, 20260611beijingzhonghegyy956m, 20260611beijingzhonghegyy1850, 20260611beijingzhonghegyy2140m, 20260611beijingzhonghegyy2530m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值3/10，关联IQ 6组
43,北京测点,航天工业园,工业区,航天工业园,20260616IQR,20260611beijinghangtiangyy,,垂直极化,30M-6G (All),"2523.809524, 3500.000000, 3412.698413, 2539.682540, 3444.444444, 3468.253968, 2563.492063, 1904.761905, 2404.761905, 2611.111111","100.407, 99.141, 98.884, 98.869, 95.880, 95.747, 95.358, 93.156, 92.693, 92.082","13.126992, 12.220613, 19.119513, 28.415300, 71.890523, 72.575423, 54.713128, 15.817083, 1.375837, 35.422695","775, 940, 1880, 2530","20260611beijinghangtiangyy775m, 20260611beijinghangtiangyy940m, 20260611beijinghangtiangyy1880m, 20260611beijinghangtiangyy2530m","离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 4组
44,北京测点,亦庄文化园地铁站,地铁站,亦庄文化园地铁站,20260616IQR,20260611beijingyizhuangwhy,,垂直极化,30M-6G (All),"2134.920635, 3468.253968, 3484.126984, 3500.000000, 5785.714286, 3603.174603, 2523.809524, 1857.142857, 3579.365079, 3444.444444","111.195, 109.732, 109.203, 107.317, 106.120, 105.291, 104.647, 104.455, 104.431, 102.786","17.859829, 23.762333, 25.279542, 17.576257, 16.944018, 33.747116, 5.801555, 18.864465, 36.509844, 42.269788","720, 775, 875, 950, 1850, 2130","20260611beijingyizhuangwhy720, 20260611beijingyizhuangwhy775m, 20260611beijingyizhuangwhy875m, 20260611beijingyizhuangwhy950m, 20260611beijingyizhuangwhy1850m, 20260611beijingyizhuangwhy2130","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 6组
45,北京测点,博大大厦停车场,大型停车场,博大大厦停车场,20260616IQR,20260611beijingbodadasha,,垂直极化,30M-6G (All),"769.841270, 783.333333, 2531.746032, 960.317460, 3603.174603, 3555.555556, 1825.396825, 3571.428571, 3539.682540, 5746.031746","102.398, 99.249, 96.840, 93.224, 93.047, 92.921, 91.753, 90.701, 89.769, 89.229","3.844593, 28.683383, 14.479611, 0.932983, 14.070583, 8.870860, 13.456078, 55.959307, 71.320203, 1.924360","530, 773, 875, 950, 1840, 2130, 2520","20260611beijingbodadasha530m, 20260611beijingbodadasha773m, 20260611beijingbodadasha875m, 20260611beijingbodadasha950m, 20260611beijingbodadasha1840m, 20260611beijingbodadasha2130m, 20260611beijingbodadasha2520m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值5/10，关联IQ 7组
46,北京测点,天华园二里二区,居民区,天华二里二区,20260616IQR,20260611beijingtianhua2li,,垂直极化,30M-6G (All),"2142.857143, 2523.809524, 2674.603175, 2634.920635, 879.365079, 2619.047619, 2595.238095, 1904.761905, 1865.079365, 1817.460317","112.342, 109.019, 108.442, 107.377, 106.765, 105.830, 105.087, 102.842, 102.605, 102.407","35.674652, 19.840499, 23.186691, 14.509434, 0.423168, 93.250523, 95.347384, 15.741056, 18.252851, 19.409463","530, 775, 875, 940, 1860, 2110, 2600","20260611beijingtianhua2li530m, 20260611beijingtianhua2li775m, 20260611beijingtianhua2li875m, 20260611beijingtianhua2li940m, 20260611beijingtianhua2li1860, 20260611beijingtianhua2li2110m, 20260611beijingtianhua2li2600m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值3/10，关联IQ 7组
47,北京测点,北京同仁医院亦庄院区,医院外部,北京同仁医院亦庄院区,20260616IQR,20260611beijingtongrenyiyuan,,垂直极化,30M-6G (All),"3420.634921, 3404.761905, 3436.507937, 3452.380952, 3476.190476, 2015.873016, 1896.825397, 1857.142857, 2587.301587, 1841.269841","119.390, 119.017, 118.720, 118.617, 118.248, 114.997, 111.896, 111.637, 111.482, 110.951","18.142782, 18.432898, 19.575817, 19.704903, 7.372375, 5.382034, 18.596276, 42.556243, 5.872375, 48.922470","770, 875, 948, 1910, 2550","20260611beijingtongrenyiyuan770m, 20260611beijingtongrenyiyuan875m, 20260611beijingtongrenyiyuan948m, 20260611beijingtongrenyiyuan1910m, 20260611beijingtongrenyiyuan2550m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值1/10，关联IQ 5组
48,重庆测点,华岩隧道,居民区,,1-IQ-DATA-4,huayan,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
49,重庆测点,双碑隧道,居民区,,1-IQ-DATA-4,shuangb,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
50,重庆测点,宋家沟隧道,居民区,,1-IQ-DATA-4,songjg,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
51,重庆测点,中梁山华福隧道,工业区,,1-IQ-DATA-4,zhonglshf,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
52,重庆测点,白鹤咀隧道,居民区,,2-IQ-DATA-4,baihej,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
53,重庆测点,照母山隧道,居民区,,3-IQ-DATA-4,zhaoms,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
54,重庆测点,星光隧道,闹市区,,3-IQ-DATA-4,xingg,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
55,重庆测点,庙复隧道,居民区,,3-IQ-DATA-4,miaofu,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
56,重庆测点,博翠隧道,居民区,,2-IQ-DATA-4,bocui,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
57,重庆测点,黄沙溪隧道,闹市区,,2-IQ-DATA-4,huangsx,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
58,重庆测点,龙兴隧道,工业区,,2-IQ-DATA-4,longx,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
59,重庆测点,慈母山1号隧道,居民区,,3-IQ-DATA-4,cims,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
60,重庆测点,慈母山2号隧道,居民区,,3-IQ-DATA-4,cims2hao,,垂直极化,30M-6G (All),,,,,,,无频谱数据，无关联IQ
