序号,城市,地点,场景类型,频谱数据目录名称,IQ数据相对目录,IQ数据组名称,备注,极化方式,频段,频谱峰值频率(MHz),频谱峰值功率(dBμV/m),频谱BW_3dB(MHz),IQ中心频率(MHz),IQ数据组完整名称,IQ文件状态,汇总说明
12,长春测点,八一水韵城,居民区,15八一水韵城,20260536IQR,20260527bysy,,垂直极化,30M-6G (All),"1880.952381, 2531.746032, 3579.365079, 2555.555556, 2595.238095, 2579.365079, 3515.873016, 2126.984127, 1857.142857, 3547.619048","110.449, 108.420, 105.273, 105.259, 103.909, 103.694, 102.641, 102.082, 101.579, 99.973","8.402324, 20.859813, 8.991686, 50.051465, 93.764906, 94.240027, 24.202260, 16.326023, 34.031081, 59.653106",,,,有10个主要峰值，无关联IQ
13,长春测点,长春市轨道交通集团,工业区,14长春市轨道交通集团,20260537IQR,20260527gdjt,,垂直极化,30M-6G (All),"3523.809524, 3587.301587, 3603.174603, 2547.619048, 2523.809524, 869.047619, 2579.365079, 948.412698, 1817.460317, 1873.015873","113.728, 111.416, 111.250, 109.194, 106.817, 104.373, 103.461, 101.099, 99.029, 97.677","21.967574, 27.151075, 27.799224, 30.935574, 41.100572, 0.442061, 6.972751, 0.613567, 15.381489, 30.417174",,,,有10个主要峰值，无关联IQ
14,长春测点,一汽总医院,医院外部,13吉林省一汽总医院,20260538IQR,20260527yqzyy,,垂直极化,30M-6G (All),"1857.142857, 1873.015873, 1817.460317, 2547.619048, 2563.492063, 4809.523810, 2579.365079, 2619.047619, 2515.873016, 2650.793651","115.358, 115.297, 107.696, 105.373, 105.287, 104.784, 103.424, 102.756, 102.590, 101.026","14.320372, 12.325870, 11.449914, 36.080244, 36.437794, 10.537459, 68.427305, 16.012259, 69.841806, 6.337218",,,,有10个主要峰值，无关联IQ
15,长春测点,吉林省肿瘤医院,医院外部,16吉林省第二人民医院,20260539IQR,20260527zlyy,,垂直极化,30M-6G (All),"3555.555556, 3571.428571, 2539.682540, 949.206349, 2587.301587, 1865.079365, 1817.460317, 1849.206349, 2571.428571, 2619.047619","94.234, 93.568, 93.278, 93.175, 93.136, 92.774, 92.502, 92.319, 92.317, 88.660","21.592659, 22.964374, 13.489892, 0.843918, 17.073082, 18.570318, 18.303719, 18.995567, 37.743980, 7.711626",,,,有10个主要峰值，无关联IQ
16,长春测点,五二三电台,电台,11电台523,20260540IQR,20260526523diantai,,垂直极化,30M-6G (All),"2531.746032, 2563.492063, 1809.523810, 2603.174603, 3515.873016, 105.015873, 1880.952381, 1865.079365, 3547.619048, 3587.301587","116.507, 114.813, 113.085, 111.554, 110.722, 110.413, 109.827, 108.419, 108.075, 107.282","22.804220, 14.634616, 9.447124, 30.537739, 6.830221, 0.332009, 18.871718, 20.712690, 34.369171, 15.215704",,,,有10个主要峰值，无关联IQ
17,北京测点,东坝家园,居民区,东坝家园,20260611IQR,20260611beijingdbjiayuan,,垂直极化,30M-6G (All),"1857.142857, 2126.984127, 2531.746032, 2547.619048, 2587.301587, 3547.619048, 3436.507937, 3595.238095, 960.317460, 3412.698413","109.965, 109.068, 105.475, 104.584, 101.635, 101.197, 99.924, 99.607, 99.407, 98.121","16.547126, 15.354153, 18.703586, 42.912070, 5.909810, 24.119742, 33.814503, 13.251367, 0.920132, 43.370065","100, 560, 670, 775, 875, 950, 1850, 2100, 2500","20260611beijingdbjiayuan100m, 20260611beijingdbjiayuan560m, 20260611beijingdbjiayuan670m, 20260611beijingdbjiayuan775m, 20260611beijingdbjiayuan875m, 20260611beijingdbjiayuan950m, 20260611beijingdbjiayuan1850m, 20260611beijingdbjiayuan2100m, 20260611beijingdbjiayuan2500m","离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值2/10，关联IQ 9组
18,北京测点,东坝北地铁站,地铁站,东坝北地铁站,20260611IQR,20260611beijingdbbditiezhan,,垂直极化,30M-6G (All),"1896.825397, 1825.396825, 2452.380952, 3523.809524, 1857.142857, 2126.984127, 2531.746032, 2436.507937, 2015.873016, 2595.238095","105.631, 100.180, 98.865, 97.751, 96.365, 96.351, 95.938, 95.900, 95.855, 95.183","10.133583, 16.321954, 3.225836, 4.474280, 16.919229, 16.888769, 14.706520, 11.973257, 7.528781, 25.876317","775, 875, 950, 1900, 2500","20260611beijingdbbditiezhan775m, 20260611beijingdbbditiezhan875m, 20260611beijingdbbditiezhan950m, 20260611beijingdbbditiezhan1900m, 20260611beijingdbbditiezhan2500m","离线, 离线, 离线, 离线, 离线",已覆盖主要峰值1/10，关联IQ 5组
19,北京测点,东坝万达,购物广场,东坝万达,20260611IQR,20260611beijingdbwanda,,垂直极化,30M-6G (All),"2119.047619, 2142.857143, 3515.873016, 3412.698413, 3571.428571, 3587.301587, 3603.174603, 3555.555556, 2428.571429, 3452.380952","127.029, 123.343, 121.218, 118.472, 117.827, 117.807, 117.520, 113.098, 112.045, 111.831","5.037078, 34.757282, 18.587236, 14.612822, 36.971269, 37.007443, 37.522563, 71.117969, 1.406310, 18.184608","560, 670, 775, 875, 950, 1820, 2100, 4250","20260611beijingdbwanda560m, 20260611beijingdbwanda670m, 20260611beijingdbwanda775m, 20260611beijingdbwanda875m, 20260611beijingdbwanda950m, 20260611beijingdbwanda1820m, 20260611beijingdbwanda2100m, 20260611beijingdbwanda4250m","离线, 离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值0/10，关联IQ 8组
20,北京测点,丽富嘉园小区南区,居民区,丽富嘉园,20260611IQR,20260611beijinglifujy,,垂直极化,30M-6G (All),"1873.015873, 879.365079, 3460.317460, 3412.698413, 1928.571429, 3523.809524, 2119.047619, 2523.809524, 3555.555556, 1825.396825","117.669, 107.040, 105.856, 104.179, 103.643, 101.754, 98.889, 97.210, 95.992, 95.499","17.049670, 0.859008, 6.028276, 19.852180, 1.002849, 26.435008, 6.331701, 19.399874, 12.405448, 17.491310","560, 670, 775, 875, 950, 1850, 2550","20260611beijinglifujy560m, 20260611beijinglifujy670m, 20260611beijinglifujy775m, 20260611beijinglifujy875m, 20260611beijinglifujy950m, 20260611beijinglifujy1850m, 20260611beijinglifujy2550m","离线, 离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值1/10，关联IQ 7组
21,北京测点,朝新嘉园东里四区,居民区,朝新嘉园,20260611IQR,20260611beijingchaoxinjy,,垂直极化,30M-6G (All),"3515.873016, 1460.317460, 3412.698413, 1865.079365, 2587.301587, 2539.682540, 1849.206349, 2603.174603, 1825.396825, 880.285714","102.751, 101.487, 99.253, 99.045, 98.311, 98.249, 97.716, 96.738, 95.744, 94.751","8.428085, 9.890910, 20.975660, 19.634483, 9.821628, 35.826918, 21.490172, 31.208151, 16.855755, 0.319846","95, 775, 875, 950, 1460, 1850","20260611beijingchaoxinjy95m, 20260611beijingchaoxinjy775m, 20260611beijingchaoxinjy875m, 20260611beijingchaoxinjy950m, 20260611beijingchaoxinjy1460m, 20260611beijingchaoxinjy1850m","离线, 离线, 离线, 离线, 离线, 离线",已覆盖主要峰值4/10，关联IQ 6组
